distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.6897900302196865, 0]",8,7.310209969780313,1711822881.3630548,1711822881.362062,0.0009927749633789062
"[0.6861470444757006, 0]",8,7.3138529555242995,1711822881.4906502,1711822881.4896615,0.0009887218475341797
"[0.6814321842238144, 0]",8,7.318567815776186,1711822881.622466,1711822881.6214814,0.0009846687316894531
"[0.6814364746296193, 0]",8,7.318563525370381,1711822881.7791321,1711822881.7771263,0.0020058155059814453
"[0.6825129813695535, 0]",8,7.317487018630446,1711822881.9118998,1711822881.9108932,0.0010066032409667969
"[0.6840016403125363, 0]",8,7.315998359687463,1711822882.0571373,1711822882.0561237,0.0010135173797607422
"[0.6834659905802438, 0]",8,7.316534009419756,1711822882.2707455,1711822882.2687578,0.0019876956939697266
"[0.6838706582190874, 0]",8,7.316129341780913,1711822882.402338,1711822882.4003506,0.001987457275390625
"[0.6852810062345088, 0]",8,7.314718993765491,1711822882.5340362,1711822882.5320487,0.001987457275390625
"[0.6852228839349238, 0]",8,7.314777116065076,1711822882.6973615,1711822882.696379,0.000982522964477539
"[0.6822314926070737, 0]",8,7.317768507392926,1711822882.8279538,1711822882.8269546,0.0009992122650146484
"[0.6836497159565048, 0]",8,7.316350284043495,1711822882.9668317,1711822882.9648366,0.001995086669921875
"[0.6824947472630428, 0]",8,7.317505252736957,1711822883.172813,1711822883.1718302,0.0009827613830566406
"[0.6802685464113138, 0]",8,7.319731453588686,1711822883.3059878,1711822883.3039942,0.0019936561584472656
"[0.6865855443176432, 0]",8,7.313414455682357,1711822883.4390604,1711822883.43806,0.0010004043579101562
"[0.6841038260061881, 0]",8,7.315896173993812,1711822883.6181731,1711822883.617188,0.0009851455688476562
"[0.6838679177461622, 0]",8,7.316132082253838,1711822883.7493339,1711822883.7483146,0.0010192394256591797
"[0.684489730056997, 0]",8,7.315510269943003,1711822883.882643,1711822883.8806427,0.0020003318786621094
"[0.6824794744942889, 0]",8,7.317520525505711,1711822884.0819964,1711822884.0809999,0.0009965896606445312
"[0.6813512078597792, 0]",8,7.318648792140221,1711822884.215578,1711822884.213577,0.002001047134399414
"[0.6820931187528202, 0]",8,7.31790688124718,1711822884.3488932,1711822884.3479047,0.0009884834289550781
"[0.6826322498525186, 0]",8,7.317367750147481,1711822884.5456161,1711822884.5445957,0.0010204315185546875
"[0.6901743168457585, 0]",8,7.309825683154242,1711822884.6796157,1711822884.678615,0.0010006427764892578
"[0.6819525783872629, 0]",8,7.318047421612738,1711822884.8184936,1711822884.8165295,0.001964092254638672
"[0.6883268167535455, 0]",8,7.311673183246454,1711822885.0020983,1711822885.0010967,0.001001596450805664
"[0.6816367258760507, 0]",8,7.318363274123949,1711822885.1347005,1711822885.1337001,0.0010004043579101562
"[0.6856302462144939, 0]",8,7.314369753785506,1711822885.293835,1711822885.2928336,0.0010013580322265625
"[0.7000604791710959, 0]",8,7.299939520828904,1711822885.551782,1711822885.5507815,0.0010004043579101562
"[0.6843529030209845, 0]",8,7.315647096979015,1711822885.6847782,1711822885.6837718,0.0010063648223876953
"[0.686084122646641, 0]",8,7.3139158773533595,1711822885.8806863,1711822885.8796792,0.001007080078125
"[0.6826617402177719, 0]",8,7.317338259782228,1711822886.0122097,1711822886.0112097,0.0009999275207519531
"[0.6813306348490635, 0]",8,7.318669365150937,1711822886.1438262,1711822886.1428254,0.0010008811950683594
"[0.6875357898727462, 0]",8,7.312464210127254,1711822886.273365,1711822886.2720628,0.0013022422790527344
"[0.6887634919289445, 0]",8,7.3112365080710555,1711822886.4677923,1711822886.466778,0.0010142326354980469
"[0.6864309791356582, 0]",8,7.313569020864342,1711822886.6017451,1711822886.600717,0.0010280609130859375
"[0.6852744060324031, 0]",8,7.314725593967597,1711822886.7831218,1711822886.7820933,0.0010285377502441406
"[0.6833215706613321, 0]",8,7.316678429338668,1711822886.9137893,1711822886.9127846,0.0010046958923339844
"[0.6828785486441695, 0]",8,7.31712145135583,1711822887.057652,1711822887.056626,0.0010259151458740234
"[0.6967509573858967, 0]",8,7.3032490426141035,1711822887.1884823,1711822887.1874816,0.0010006427764892578
"[0.6829431529313916, 0]",8,7.317056847068608,1711822887.400966,1711822887.3999398,0.001026153564453125
"[0.6851790356858073, 0]",8,7.314820964314193,1711822887.5395508,1711822887.5375519,0.0019989013671875
"[0.68116600482951, 0]",8,7.31883399517049,1711822887.6905825,1711822887.6893408,0.0012416839599609375
"[0.6801461485925292, 0]",8,7.319853851407471,1711822887.820071,1711822887.820071,0.0
"[0.6839402486820821, 0]",8,7.316059751317918,1711822887.9541953,1711822887.9522018,0.001993417739868164
"[0.6854028494100952, 0]",8,7.314597150589905,1711822888.1696017,1711822888.1685958,0.0010058879852294922
"[0.6855121233668398, 0]",7,6.3144878766331605,1711822888.3023524,1711822888.3013499,0.0010025501251220703
"[0.6851662859115814, 0]",7,6.314833714088419,1711822888.4349036,1711822888.4339046,0.0009989738464355469
"[0.6841670468329264, 0]",7,6.315832953167074,1711822888.597973,1711822888.5969734,0.0009996891021728516
"[0.6844937183957471, 0]",7,6.315506281604253,1711822888.7305436,1711822888.7295442,0.00099945068359375
"[0.6852489143995887, 0]",7,6.314751085600411,1711822888.8627217,1711822888.8617206,0.001001119613647461
"[0.6824705812738735, 0]",6,5.317529418726126,1711822888.9943438,1711822888.9933288,0.0010149478912353516
"[0.684933440762422, 0]",6,5.315066559237578,1711822889.1280632,1711822889.1270616,0.001001596450805664
"[0.6817943482302208, 0]",6,5.318205651769779,1711822889.2854877,1711822889.2845016,0.0009860992431640625
"[0.6848447251748772, 0]",6,5.3151552748251225,1711822889.4172485,1711822889.4152453,0.002003192901611328
"[0.6835114490327047, 0]",6,5.3164885509672954,1711822889.5938704,1711822889.591812,0.0020585060119628906
"[0.6859525604911139, 0]",6,5.314047439508887,1711822889.728288,1711822889.727285,0.0010030269622802734
"[0.6909731654157243, 0]",6,5.309026834584276,1711822889.8595626,1711822889.8585625,0.0010001659393310547
"[0.6812092788292202, 0]",6,5.31879072117078,1711822890.0425878,1711822890.0425878,0.0
"[0.6894105143480657, 0]",6,5.310589485651934,1711822890.173966,1711822890.173966,0.0
"[0.6873283867555939, 0]",6,5.312671613244406,1711822890.3056178,1711822890.304617,0.0010008811950683594
"[0.6876236645775211, 0]",6,5.312376335422479,1711822890.4766152,1711822890.4756005,0.00101470947265625
"[0.6863296354059113, 0]",6,5.313670364594088,1711822890.6051805,1711822890.6042006,0.0009799003601074219
"[0.6869374660899427, 0]",6,5.313062533910057,1711822890.739606,1711822890.738581,0.0010249614715576172
"[0.6824780767514627, 0]",6,5.317521923248537,1711822890.940001,1711822890.9390068,0.0009942054748535156
"[0.6902385092536083, 0]",6,5.309761490746392,1711822891.072132,1711822891.0711312,0.0010008811950683594
"[0.6863919565680094, 0]",5,4.313608043431991,1711822891.3452065,1711822891.3452065,0.0
"[0.6832677194601052, 0]",5,4.316732280539894,1711822891.4777596,1711822891.4767535,0.0010061264038085938
"[0.6899728550322071, 0]",3,2.310027144967793,1711822891.6148677,1711822891.6138508,0.001016855239868164
"[0.6841574360459719, 0]",0,0.6841574360459719,1711822891.7450004,1711822891.7439811,0.0010192394256591797
"[0.68433048580344, 0]",8,7.31566951419656,1711822891.87697,1711822891.8759546,0.0010154247283935547
"[0.6947937122309955, 0]",7,6.305206287769004,1711822892.007793,1711822892.0058084,0.0019845962524414062
"[0.6845300688098759, 0]",5,4.315469931190124,1711822892.1447208,1711822892.1427124,0.0020084381103515625
"[0.6917901373732646, 0]",3,2.3082098626267356,1711822892.3939097,1711822892.392929,0.0009806156158447266
"[0.6883445305784522, 0]",1,0.31165546942154776,1711822892.5240967,1711822892.5229445,0.0011522769927978516
"[0.6885006614122055, 0]",8,7.311499338587795,1711822892.7333784,1711822892.731378,0.0020003318786621094
"[0.6948812388738447, 0]",4,3.305118761126155,1711822892.8691707,1711822892.8681774,0.0009932518005371094
"[0.6901134788486891, 0]",1,0.3098865211513109,1711822893.001709,1711822893.0007143,0.0009946823120117188
"[0.6893085982934868, 0]",8,7.310691401706514,1711822893.134977,1711822893.1338649,0.001112222671508789
"[0.6858253350254628, 0]",7,6.314174664974537,1711822893.3327382,1711822893.3317575,0.0009806156158447266
"[0.6888232709550448, 0]",5,4.311176729044956,1711822893.4940648,1711822893.4928722,0.0011925697326660156
"[0.6879123485302379, 0]",9,8.312087651469762,1711822893.648157,1711822893.6471286,0.001028299331665039
"[0.6872055761911982, 0]",9,8.312794423808802,1711822893.7814283,1711822893.7804425,0.000985860824584961
"[0.6823054264150495, 0]",6,5.317694573584951,1711822893.9122374,1711822893.9112494,0.000988006591796875
"[0.6862724886285755, 0]",0,0.6862724886285755,1711822894.0459845,1711822894.0449915,0.0009930133819580078
"[0.689103363063722, 0]",4,3.310896636936278,1711822894.243144,1711822894.2411473,0.001996755599975586
"[0.695099203872694, 0]",1,0.30490079612730603,1711822894.3741086,1711822894.3731127,0.0009958744049072266
"[0.6896774256826492, 0]",8,7.31032257431735,1711822894.5398076,1711822894.5388284,0.0009791851043701172
"[0.6939282851630563, 0]",4,3.3060717148369436,1711822894.6726363,1711822894.670635,0.0020012855529785156
"[0.6895322749363223, 0]",9,8.310467725063678,1711822894.8016226,1711822894.8016226,0.0
"[0.6883442959145011, 0]",5,4.311655704085499,1711822894.9331236,1711822894.9311428,0.0019807815551757812
"[0.6810003805727043, 0]",0,0.6810003805727043,1711822895.0684047,1711822895.0663905,0.00201416015625
"[0.6835576298998688, 0]",1,0.3164423701001312,1711822895.206203,1711822895.206203,0.0
"[0.6833899146948688, 0]",3,2.3166100853051312,1711822895.339498,1711822895.339498,0.0
"[0.683672188050332, 0]",3,2.3163278119496677,1711822895.5191724,1711822895.5171716,0.0020008087158203125
"[0.6862636883049289, 0]",4,3.313736311695071,1711822895.6471536,1711822895.645166,0.0019876956939697266
"[0.685676700161108, 0]",4,3.314323299838892,1711822895.7792983,1711822895.7783172,0.0009810924530029297
"[0.6844389390364979, 0]",7,6.3155610609635024,1711822895.9594223,1711822895.9584427,0.0009796619415283203
"[0.6900201897239828, 0]",9,8.309979810276017,1711822896.0905504,1711822896.0895576,0.0009927749633789062
"[0.6823960912145896, 0]",0,0.6823960912145896,1711822896.224685,1711822896.2236822,0.0010027885437011719
"[0.6883817977863077, 0]",3,2.311618202213692,1711822896.42635,1711822896.4253576,0.0009925365447998047
"[0.6829347840484539, 0]",9,8.317065215951546,1711822896.556086,1711822896.5551004,0.0009856224060058594
"[0.682699607286452, 0]",8,7.317300392713548,1711822896.6899402,1711822896.6878498,0.0020904541015625
"[0.690798232910929, 0]",9,8.309201767089071,1711822896.8796692,1711822896.8786838,0.0009853839874267578
"[0.6846696117161407, 0]",1,0.3153303882838593,1711822897.0148005,1711822897.0138197,0.0009808540344238281
"[0.6931583076486002, 0]",4,3.3068416923513997,1711822897.1450768,1711822897.14405,0.0010268688201904297
"[0.6923790048323769, 0]",6,5.307620995167623,1711822897.3415759,1711822897.3395698,0.002006053924560547
"[0.6854389966826117, 0]",7,6.3145610033173885,1711822897.501731,1711822897.501731,0.0
"[0.6888786472577677, 0]",7,6.311121352742232,1711822897.6295924,1711822897.6295924,0.0
"[0.7026274252281127, 0]",7,6.297372574771887,1711822897.8309958,1711822897.8299875,0.0010082721710205078
"[0.6833743843981768, 0]",7,6.316625615601823,1711822897.9695854,1711822897.9685857,0.0009996891021728516
